longitude,latitude,property_type,room_type,price,minimum_nights,availability_30,availability_60,number_of_reviews,review_scores_rating,neighbourhood,bedrooms,bathrooms
-122.48619,37.77959,Apartment,Entire home/apt,$112.00,30,0,0,10,94,Richmond District,1,1
-122.44479,37.74889,Apartment,Entire home/apt,$116.00,30,0,0,27,95,Twin Peaks,1,1
-122.42458,37.79216,Apartment,Private room,$55.00,30,0,0,123,93,Pacific Heights,1,0
-122.41722,37.78816,Apartment,Entire home/apt,$187.00,3,0,0,88,96,Downtown,2,1
-122.43923,37.77459,Apartment,Entire home/apt,$200.00,90,27,57,152,99,Western Addition/NOPA,2,2
-122.41443,37.7472,Apartment,Entire home/apt,$175.00,30,8,38,215,92,Bernal Heights,1,1
-122.41933,37.75762,Apartment,Private room,$99.00,30,29,59,122,94,Mission District,1,1
-122.42864,37.74565,Guest suite,Entire home/apt,$135.00,2,1,6,336,98,Noe Valley,1,1
-122.41596,37.8031,Condominium,Private room,$109.00,2,12,29,243,96,Russian Hill,1,2
-122.41409,37.74209,Cottage,Private room,$150.00,30,28,58,192,98,Bernal Heights,1,1
-122.49178,37.75674,House,Private room,$100.00,60,30,60,1,20,Outer Sunset,1,1
-122.43496,37.76966,House,Entire home/apt,$475.00,4,5,5,201,97,Lower Haight,3,2
-122.42993,37.74183,Apartment,Private room,$85.00,2,0,0,36,97,Noe Valley,1,1
-122.42432,37.76245,House,Entire home/apt,$950.00,3,29,56,55,96,Mission District,3,2.5
-122.41398,37.74926,Guest suite,Entire home/apt,$166.00,2,9,35,365,94,Mission District,1,1
-122.42874,37.80317,Apartment,Private room,$90.00,30,11,41,67,99,Marina,1,2
-122.47812,37.77798,Apartment,Entire home/apt,$95.00,30,0,0,97,83,Richmond District,0,1
-122.50906,37.77719,Apartment,Entire home/apt,$216.00,30,0,22,12,96,Richmond District,3,2
-122.46594,37.7571,Apartment,Entire home/apt,$90.00,30,29,59,44,79,Inner Sunset,1,1
-122.42387,37.75426,Apartment,Entire home/apt,$326.00,30,0,24,36,99,Noe Valley,1,1
-122.46319,37.77442,House,Entire home/apt,$80.00,30,12,30,52,98,Richmond District,2,1
-122.42644,37.73027,House,Private room,$46.00,30,0,21,39,91,Excelsior,1,1
-122.42478,37.73128,House,Private room,$37.00,30,12,39,27,82,Excelsior,1,1
-122.50923,37.77707,Apartment,Entire home/apt,$185.00,30,30,60,7,93,Richmond District,3,2
-122.42424,37.74527,Apartment,Entire home/apt,$108.00,30,0,0,10,98,Noe Valley,1,1
-122.40635,37.79364,House,Shared room,$30.00,30,0,0,15,93,Chinatown,1,2.5
-122.4045,37.79447,Hostel,Shared room,$45.00,1,12,33,388,92,Financial District,1,3
-122.40841,37.74578,Guest suite,Private room,$109.00,3,19,46,142,98,Bernal Heights,1,1
-122.46466,37.77625,Apartment,Entire home/apt,$80.00,30,30,60,2,60,Richmond District,1,1
